Date,Open,High,Low,Close,Adj Close,Volume
2023-10-16,27110.5625,29336.681640625,27110.5625,28506.296875,28506.296875,224717149
2023-10-17,28506.68359375,28556.5390625,28189.96484375,28433.068359375,28433.068359375,93631319
2023-10-18,28433.2734375,28757.380859375,28226.7890625,28308.58203125,28308.58203125,84712053
2023-10-19,28308.888671875,28793.43359375,28196.4296875,28707.03125,28707.03125,64415644
2023-10-20,28712.6171875,30041.447265625,28665.66015625,29677.83984375,29677.83984375,160085435
2023-10-21,29677.197265625,30197.505859375,29515.63671875,29970.884765625,29970.884765625,115480079
2023-10-22,29970.955078125,30164.84765625,29813.169921875,30019.7578125,30019.7578125,102644831
2023-10-23,30095.298828125,33970.10546875,30091.830078125,32964.1875,32964.1875,372343876
2023-10-24,32997.484375,34965.87109375,32917.28125,33881.7890625,33881.7890625,445507521
2023-10-25,33889.94921875,35018.71484375,33801.06640625,34496.59375,34496.59375,208369976
2023-10-26,34494.44140625,34801.98828125,33854.078125,34187.2421875,34187.2421875,187547579
2023-10-27,34187.015625,34187.015625,33534.17578125,33865.84765625,33865.84765625,105281079
2023-10-28,33866.296875,34280.4453125,33864.765625,34080.859375,34080.859375,60075781
2023-10-29,34080.859375,34665.9609375,33987.5859375,34572.4921875,34572.4921875,66595144
2023-10-30,34572.3515625,34696.5546875,34169.94140625,34481.37890625,34481.37890625,170435456
2023-10-31,34481.77734375,34595.91015625,34189.63671875,34595.91015625,34595.91015625,126498106
2023-11-01,34595.53125,35359.734375,34254.23046875,35353.40625,35353.40625,228044131
2023-11-02,35353.640625,35773.21875,34535.38671875,34843.05078125,34843.05078125,152590168
2023-11-03,34842.546875,34845.73828125,34212.921875,34706.64453125,34706.64453125,155851699
2023-11-04,34707.984375,35160.76953125,34688.41015625,35100.4375,35100.4375,96174150
2023-11-05,35101.37890625,35269.05859375,34721.7265625,35117.38671875,35117.38671875,159913921
2023-11-06,35113.26953125,35218.12890625,34816.10546875,35025.078125,35025.078125,106581604
2023-11-07,35023.99609375,35709.08203125,34630.3125,35365.96484375,35365.96484375,148797778
2023-11-08,35366.01171875,35867.77734375,35228.80078125,35733.44921875,35733.44921875,148377220
2023-11-09,35731.65234375,37869.7109375,35660.5078125,36720.125,36720.125,487273600
2023-11-10,36718.78125,37365.3046875,36399.74609375,37310.625,37310.625,228900900
2023-11-11,37310.78515625,37324.9921875,36810.140625,36950.8515625,36950.8515625,201514316
2023-11-12,36955.41015625,37176.03125,36799.71875,37003.87890625,37003.87890625,191381416
2023-11-13,37004.5546875,37277.45703125,36436.38671875,36475.1953125,36475.1953125,235155677
2023-11-14,36481.12890625,36646.4921875,35151.05078125,35510.30859375,35510.30859375,189571173
2023-11-15,35513.734375,37733.2890625,35381.28515625,37729.8046875,37729.8046875,216914288
2023-11-16,37727.52734375,37810.375,35638.94921875,36078.5859375,36078.5859375,212837014
2023-11-17,36075.13671875,36561.2578125,35938.265625,36514.16796875,36514.16796875,184405833
2023-11-18,36515.46875,36703.44921875,36224.25390625,36545.78515625,36545.78515625,77034368
2023-11-19,36545.78515625,37397.0,36423.0390625,37374.35546875,37374.35546875,67809915
2023-11-20,37378.0859375,37639.1015625,36989.7734375,37402.91015625,37402.91015625,136963824
2023-11-21,37399.37109375,37487.21484375,35949.125,35949.125,35949.125,187997157
2023-11-22,35940.68359375,37678.05078125,35789.26953125,37409.96484375,37409.96484375,211652519
2023-11-23,37374.5390625,37532.69140625,37048.6328125,37258.7890625,37258.7890625,93940281
2023-11-24,37258.77734375,38226.890625,37248.14453125,37694.64453125,37694.64453125,122774411
2023-11-25,37695.01953125,37778.0859375,37624.03515625,37755.015625,37755.015625,52383029
2023-11-26,37755.015625,37780.47265625,37219.73046875,37466.26171875,37466.26171875,76100727
2023-11-27,37459.1484375,37485.703125,36803.10546875,37099.24609375,37099.24609375,95879897
2023-11-28,37100.44921875,38195.25390625,36870.1015625,37757.5078125,37757.5078125,89137938
2023-11-29,37758.71875,38227.21875,37626.7578125,37756.578125,37756.578125,74227455
2023-11-30,37755.9140625,38016.51171875,37578.3125,37718.01171875,37718.01171875,63665133
2023-12-01,37721.34765625,38786.72265625,37668.2109375,38655.78125,38655.78125,111586477
2023-12-02,38657.90625,39538.23046875,38638.98828125,39422.7265625,39422.7265625,120572243
2023-12-03,39422.16796875,40031.21484375,39350.15625,39917.44140625,39917.44140625,102669813
2023-12-04,39916.60546875,42126.52734375,39916.60546875,41875.90625,41875.90625,215989324
2023-12-05,41878.95703125,44226.65234375,41390.23828125,44027.3671875,44027.3671875,270514867
2023-12-06,44024.34765625,44093.29296875,43475.78515625,43644.3203125,43644.3203125,208684513
2023-12-07,43643.125,43952.1171875,43005.68359375,43279.8203125,43279.8203125,222893751
2023-12-08,43281.171875,44523.04296875,43136.74609375,44176.17578125,44176.17578125,196215940
2023-12-09,44175.6328125,44279.50390625,43654.08203125,43656.6875,43656.6875,194020830
2023-12-10,43661.87890625,43955.3125,43582.6796875,43706.4296875,43706.4296875,85705670
2023-12-11,43706.4140625,43742.75390625,40339.73046875,41227.8359375,41227.8359375,263367797
2023-12-12,41224.2890625,41920.63671875,40739.42578125,41383.90625,41383.90625,144115900
2023-12-13,41386.71484375,43205.75390625,40703.69921875,42893.8984375,42893.8984375,163322936
2023-12-14,42891.68359375,43231.54296875,42094.3984375,43011.78125,43011.78125,195716268
2023-12-15,43011.390625,43035.80859375,41840.703125,41910.04296875,41910.04296875,119540209
2023-12-16,41906.90234375,42493.75,41765.75,42138.31640625,42138.31640625,76330540
2023-12-17,42135.66015625,42250.375,41369.75,41391.99609375,41391.99609375,96305644
2023-12-18,41382.25390625,42711.9765625,40538.8671875,42500.6640625,42500.6640625,159915835
2023-12-19,42501.6484375,43368.11328125,41780.93359375,42218.28515625,42218.28515625,149481385
2023-12-20,42220.6484375,44048.375,42215.4375,43555.72265625,43555.72265625,176036802
2023-12-21,43562.96875,44109.45703125,43411.9765625,43840.60546875,43840.60546875,186255717
2023-12-22,43840.97265625,44236.48828125,43543.609375,43941.671875,43941.671875,268842735
2023-12-23,43957.28125,43968.47265625,43405.22265625,43764.1875,43764.1875,90330864
2023-12-24,43762.95703125,43894.5,42909.87109375,43037.234375,43037.234375,115046562
2023-12-25,43032.984375,43669.7734375,42870.578125,43577.08203125,43577.08203125,100439640
2023-12-26,43576.01953125,43577.4140625,41879.8828125,42479.57421875,42479.57421875,112951914
2023-12-27,42476.05859375,43612.65234375,42219.5,43472.11328125,43472.11328125,254243003
2023-12-28,43476.6640625,43773.71875,42397.33984375,42594.984375,42594.984375,259919056
2023-12-29,42598.97265625,42997.98828125,41697.27734375,42016.59375,42016.59375,182681438
2023-12-30,42020.55078125,42490.90625,41614.5625,42210.3515625,42210.3515625,108306162
2023-12-31,42204.7109375,42758.53125,42038.84765625,42175.015625,42175.015625,122141870
2024-01-01,42174.7734375,44080.98046875,42174.7734375,44080.98046875,44080.98046875,129161866
2024-01-02,44084.1875,45825.9140625,44084.1875,44932.3359375,44932.3359375,318084835
2024-01-03,44932.51171875,45361.8671875,41751.46875,42756.73046875,42756.73046875,323859874
2024-01-04,42760.54296875,44603.91796875,42710.68359375,44237.41796875,44237.41796875,168273477
2024-01-05,44241.62890625,44262.87109375,43152.21484375,44136.3515625,44136.3515625,205034065
2024-01-06,44137.3984375,44172.34765625,43476.50390625,43863.41015625,43863.41015625,88882046
